,Id,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type
368,369,Спортивный комплекс «Красный Октябрь»,Северо-Западный административный округ,район Покровское-Стрешнево,"Тушинская улица, дом 16А",(495) 681-01-48,55.827970434,37.445102801,"бассейн плавательный площадью более 60-ти кв.м крытый, «Детский»",07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,pool_close
369,370,Спортивный комплекс «Красный Октябрь»,Северо-Западный административный округ,район Покровское-Стрешнево,"Тушинская улица, дом 16А",(495) 681-01-48,55.827940238,37.445480993,бассейн плавательный 25-ти метровый крытый,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,pool_close
370,371,Фитнес-клуб «Фитнес Практика»,Северо-Восточный административный округ,Останкинский район,"Берёзовая аллея, дом 5А, строение 6",(495) 172-55-47,55.848479617,37.619576517,бассейн плавательный 25-метровый крытый,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,09:00-22:00,09:00-22:00,pool_close
371,372,Спортивный комплекс «Волна»,Южный административный округ,район Чертаново Центральное,"Чертановская улица, дом 45А",(495) 681-01-48,55.607077187,37.593700484,бассейн плавательный площадью 60 кв. м крытый,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,pool_close
372,373,Спортивный комплекс «Волна»,Южный административный округ,район Чертаново Центральное,"Чертановская улица, дом 45А",(495) 681-01-48,55.607138146,37.59394157,бассейн плавательный 25-метровый крытый,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,pool_close
373,374,Фитнес-клуб «Х-Фит Сердце Столицы»,Северо-Западный административный округ,район Хорошёво-Мнёвники,"Шелепихинская набережная, дом Б/Н, строение 2",(495) 966-62-60,55.762922949,37.508706594,бассейн плавательный 25-метровый крытый,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,10:00-21:00,10:00-21:00,10:00-21:00,pool_close
374,375,Фитнес-клуб «Миллениум»,Южный административный округ,район Москворечье-Сабурово,"Каширское шоссе, дом 55А",(495) 150-08-88,55.63861113,37.692426076,бассейн плавательный площадью более 60 кв.м крытый,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,08:00-22:00,08:00-22:00,pool_close
375,376,Фитнес-клуб «Лофт фитнес»,Северо-Восточный административный округ,Ярославский район,"Ярославское шоссе, дом 124",(495) 215-25-24,55.870545786,37.71434749,бассейн плавательный площадью более 60 кв.м крытый,06:30-00:00,06:30-00:00,06:30-00:00,06:30-00:00,06:30-00:00,06:30-00:00,06:30-00:00,pool_close
376,377,Фитнес-клуб «Эскалада Фитнесс»,Новомосковский административный округ,поселение Сосенское,"поселение Сосенское, посёлок Коммунарка, улица Липовый Парк, дом 4, корпус 3",(495) 637-82-82,55.57097072,37.492537686,бассейн плавательный 25-метровый крытый,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,pool_close
377,378,Спортивный комплекс с бассейном МССУОР № 1,Восточный административный округ,район Восточное Измайлово,"16-я Парковая улица, дом 17, строение 1",(499) 461-07-01,55.797524275,37.821581135,"бассейн плавательный крытый, «для обучения детей»",08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,pool_close
