,Unnamed: 0,Name,AdmArea,District,Address,HelpPhone,Latitude,Longitude,NameSummer,понедельник,вторник,среда,четверг,пятница,суббота,воскресенье,Type,Rating,NumReviews
2898,2898,Центр творческого развития детей и подростков «Золотой ключик»,Юго-Восточный административный округ,район Кузьминки,"улица Юных Ленинцев, дом 72",,55.698127,37.773906,зал спортивный,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,sport_gym,5.0,1
2899,2899,Фитнес-клуб «Х-Фит Южный Лёд»,Юго-Западный административный округ,район Южное Бутово,"улица Маршала Савицкого, дом 8",(499) 650-71-71,55.505812608,37.586137848,зал спортивный №4,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,08:00-23:00,08:00-23:00,sport_gym,4.7,187
2900,2900,Фитнес-клуб «Х-Фит Южный Лёд»,Юго-Западный административный округ,район Южное Бутово,"улица Маршала Савицкого, дом 8",(499) 650-71-71,55.505886501000006,37.585951822,зал спортивный №3,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,08:00-23:00,08:00-23:00,sport_gym,4.7,187
2901,2901,Фитнес-клуб «Х-Фит Южный Лёд»,Юго-Западный административный округ,район Южное Бутово,"улица Маршала Савицкого, дом 8",(499) 650-71-71,55.506002194,37.586241501,"зал спортивный №1, «Сайкл»",07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,08:00-23:00,08:00-23:00,sport_gym,4.7,187
2902,2902,Фитнес-клуб «Х-Фит Южный Лёд»,Юго-Западный административный округ,район Южное Бутово,"улица Маршала Савицкого, дом 8",(499) 650-71-71,55.505880412,37.586391704,зал спортивный №2,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,07:00-23:55,08:00-23:00,08:00-23:00,sport_gym,4.7,187
2903,2903,Фитнес-клуб «Донспорт Бирюзова»,Северо-Западный административный округ,район Щукино,"улица Маршала Бирюзова, дом 32, корпус 1",(495) 292-52-83,55.798784401999995,37.484251576,зал спортивный,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,09:00-22:00,09:00-22:00,sport_gym,4.0,33
2904,2904,Спортивный комплекс Московского гуманитарного университета,Восточный административный округ,район Вешняки,"улица Юности, дом 5, строение 32",(499) 374-75-97,55.730535148,37.813435324,зал спортивный №2,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-20:30,09:00-19:45,sport_gym,4.4,78
2905,2905,Физкультурно-оздоровительный комплекс Московской баскетбольной академии Структурное подразделение «СШОР №71 «Тимирязевская»,Северный административный округ,район Восточное Дегунино,"улица 800-летия Москвы, дом 7Б",(499) 900-01-14,55.881311624,37.559901997,зал спортивный №3,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,sport_gym,4.6,120
2906,2906,Физкультурно-оздоровительный комплекс Московской баскетбольной академии Структурное подразделение «СШОР №71 «Тимирязевская»,Северный административный округ,район Восточное Дегунино,"улица 800-летия Москвы, дом 7Б",(499) 900-01-14,55.881465406,37.560167536,зал спортивный №1,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,sport_gym,4.6,120
2907,2907,Физкультурно-оздоровительный комплекс Московской баскетбольной академии Структурное подразделение «СШОР №71 «Тимирязевская»,Северный административный округ,район Восточное Дегунино,"улица 800-летия Москвы, дом 7Б",(499) 900-01-14,55.881278,37.559981,зал спортивный №2,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,sport_gym,4.6,120
2908,2908,Спортивный зал Московского учебно-производственного предприятия №13 Всероссийского общества слепых,Юго-Восточный административный округ,район Люблино,"Люблинская улица, дом 139, строение 1",(495) 902-65-19,55.66641,37.74172,зал спортивный,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,sport_gym,-1.0,-1
2909,2909,Региональный общественный фонд содействия развитию дворовых видов спорта «Лидер»,Юго-Восточный административный округ,район Выхино-Жулебино,"улица Авиаконструктора Миля, дом 5, корпус 2",(929) 906-05-65,55.687514396000005,37.854827116,зал спортивный №2,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,sport_gym,4.7,9
2910,2910,Региональный общественный фонд содействия развитию дворовых видов спорта «Лидер»,Юго-Восточный административный округ,район Выхино-Жулебино,"улица Авиаконструктора Миля, дом 5, корпус 2",(929) 906-05-65,55.687514396000005,37.854827116,зал спортивный №1,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,sport_gym,4.7,9
2911,2911,Физкультурно-оздоровительный комплекс «Импульс»,Зеленоградский административный округ,район Матушкино,"город Зеленоград, корпус 109А",(499) 734-51-26,56.007292893,37.211581681,зал спортивный 1,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,sport_gym,-1.0,-1
2912,2912,"Центр детских и молодежных социальных инициатив «Крылья», ул. Лодочная",Северо-Западный административный округ,район Южное Тушино,"Лодочная улица, дом 29, строение 1",(499) 492-30-11,55.83795,37.463655,зал спортивный №4,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,11:00-18:00,закрыто,закрыто,sport_gym,-1.0,-1
2913,2913,"Центр детских и молодежных социальных инициатив «Крылья», ул. Лодочная",Северо-Западный административный округ,район Южное Тушино,"Лодочная улица, дом 29, строение 1",(499) 492-30-11,55.83795,37.463655,зал спортивный №3,11:00-20:00,закрыто,11:00-20:00,закрыто,11:00-20:00,закрыто,закрыто,sport_gym,-1.0,-1
2914,2914,"Центр детских и молодежных социальных инициатив «Крылья», ул. Лодочная",Северо-Западный административный округ,район Южное Тушино,"Лодочная улица, дом 29, строение 1",(499) 492-30-11,55.83795,37.463655,зал спортивный №2,закрыто,15:00-17:00,закрыто,16:00-18:00,закрыто,закрыто,закрыто,sport_gym,-1.0,-1
2915,2915,"Центр детских и молодежных социальных инициатив «Крылья», ул. Лодочная",Северо-Западный административный округ,район Южное Тушино,"Лодочная улица, дом 29, строение 1",(499) 492-30-11,55.83795,37.463655,зал спортивный №1,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,11:00-20:00,закрыто,закрыто,sport_gym,-1.0,-1
2916,2916,"Центр детских и молодежных социальных инициатив «Крылья», ул. Яна Райниса",Северо-Западный административный округ,район Южное Тушино,"бульвар Яна Райниса, дом 3",(499) 492-06-62,55.849529,37.43755,"зал спортивный №3, «Танцкласс»",11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-20:00,закрыто,sport_gym,-1.0,-1
2917,2917,"Центр детских и молодежных социальных инициатив «Крылья», ул. Яна Райниса",Северо-Западный административный округ,район Южное Тушино,"бульвар Яна Райниса, дом 3",(499) 492-06-62,55.849529,37.43755,"зал спортивный №2, «Бокс»",11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-20:00,закрыто,sport_gym,-1.0,-1
2918,2918,"Центр детских и молодежных социальных инициатив «Крылья», ул. Яна Райниса",Северо-Западный административный округ,район Южное Тушино,"бульвар Яна Райниса, дом 3",(499) 492-06-62,55.849529,37.43755,"зал спортивный №1, «Бокс и каратэ»",11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-20:00,закрыто,sport_gym,-1.0,-1
2919,2919,"Центр детских и молодежных социальных инициатив «Крылья», ул. Фабрициуса",Северо-Западный административный округ,район Южное Тушино,"улица Фабрициуса, дом 56, корпус 1",(495) 949-63-00,55.844703,37.422270000000005,"зал спортивный №2, «Боксерский зал»",11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,12:00-22:00,закрыто,sport_gym,-1.0,-1
2920,2920,"Центр детских и молодежных социальных инициатив «Крылья», ул. Фабрициуса",Северо-Западный административный округ,район Южное Тушино,"улица Фабрициуса, дом 56, корпус 1",(495) 949-63-00,55.844703,37.422270000000005,"зал спортивный №1, «Дартс и настольный теннис»",11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,11:00-21:30,12:00-22:00,закрыто,sport_gym,-1.0,-1
